rotor_radius,root_radius,n_blades,air_density,wind_speed,tip_speed_ratio,pitch,start_radius,tip_loss_correction,root_loss_correction,resolution,r_centre,r_inner,r_outer,a,a_prime,f_n,f_t,C_T,alpha,circulation,end_correction,c_l,c_d,phi,inflow_speed
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,10.100502512562814,10.0,10.201005025125628,0.6322250967199095,0.30011011052937187,381.4482951355018,87.73610134301056,1.3046598349054603,4.4484649056417185,19.744358553613328,0.1265332615550267,0.7190243821293947,0.008372454664771673,0.23771950251613572,16.181598728664394
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,10.301507537688442,10.201005025125628,10.402010050251256,0.5499886221115222,0.25798573301210787,568.1675517209385,168.95548828794483,1.1903213845979348,7.943420848091655,29.888465225897487,0.2227127446606085,1.0918208431426761,0.009492847009834156,0.29773569506360964,16.18900814534416
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,10.50251256281407,10.402010050251256,10.603015075376884,0.3127283301415714,0.03515213928156297,430.9824180463182,45.993484294544025,0.8597172866737429,24.26582184905015,21.33502736769007,0.2802987947837827,0.8587161997265125,0.44195875651474487,0.5816330385007346,14.74562113820598
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,10.703517587939698,10.603015075376884,10.804020100502512,0.2825853633851912,0.02980203516148195,464.89557646950493,49.83200729628963,0.8109235031426026,25.527891648449025,22.30990000764214,0.33039248332846555,0.8831101508265312,0.47774989794040934,0.6026780160298104,15.047326615268497
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,10.904522613065327,10.804020100502512,11.00502512562814,0.2611697440771709,0.02622313725303162,491.8009262426588,52.89255532569867,0.7718404354233438,26.1968146390517,23.040642628663694,0.37285246920122467,0.8986279502104675,0.4982212746911813,0.6133706287976952,15.326886689297543
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,11.105527638190955,11.00502512562814,11.206030150753769,0.24596016760631395,0.023719993541130267,516.8295906990459,55.70661771706887,0.7418550542295517,26.451413424943826,23.765687699298542,0.41011455996736773,0.914683729500962,0.5109894420317175,0.6168319200226741,15.58787939146845
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,11.306532663316583,11.206030150753769,11.407035175879397,0.2327731943215278,0.021543465818732142,536.8752397634845,57.677356822116934,0.7143593373075202,26.574576483209615,24.270011818587694,0.4432951840127676,0.9224507692114171,0.5171660878966985,0.6179992250458187,15.841941421016207
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,11.507537688442211,11.407035175879397,11.608040201005025,0.2210831090455626,0.019617012097892315,553.1401800687172,58.962166088073126,0.688821471761242,26.604043746864313,24.611332931473058,0.47323090731699724,0.9243090651175693,0.5186438755934957,0.6175312299577276,16.09086046268645
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,11.708542713567839,11.608040201005025,11.809045226130653,0.21055676208878923,0.017896724949789097,566.4005885483764,59.692191929923034,0.664890448109897,26.563992864217067,24.827009734913034,0.5004972849798703,0.9217833337794546,0.5166353178150902,0.6158499143267843,16.33587527545847
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,11.909547738693467,11.809045226130653,12.010050251256281,0.20096153853257703,0.016354913404739133,577.210498033833,59.97994863224162,0.6423039942527864,26.471311016452393,24.943549044130986,0.5255148791196457,0.9159385325690699,0.5119873092334984,0.6132500150660397,16.577921254483186
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,12.110552763819095,12.010050251256281,12.21105527638191,0.19213618155817286,0.014969985979290662,585.9624651271187,59.918108603184145,0.6208794771776708,26.337937737043788,24.97984825850912,0.5486015790563998,0.9075276050387975,0.505298619245139,0.6099399163457583,16.81764843551994
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,12.311557788944723,12.21105527638191,12.412060301507537,0.18395978052165196,0.013725037689915608,592.9576412185983,59.58578343355106,0.6004743186883104,26.172844464533,24.950326339527287,0.5700067671279658,0.8971163175831622,0.4970191668399433,0.6060761993071339,17.05555473802156
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,12.512562814070352,12.412060301507537,12.613065326633166,0.17695429841083327,0.012672781906143458,600.3451002715443,59.32977410825811,0.5825658987390522,25.94858890463385,24.95930968812676,0.5900315014561425,0.8885574260560161,0.48851036162449935,0.6011799055605714,17.289977999824448
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,12.71356783919598,12.613065326633166,12.814070351758794,0.1714504927622335,0.01183317174359222,609.9482863168614,59.41918700546252,0.5682208851752832,25.650884562035948,25.087938754805844,0.6089246959883569,0.8847026885522583,0.48089577246323023,0.5950016887243339,17.51983393544398
